-1.38870454,-1.0210765,0.,0.,0.,-1.59093758
-1.,0.,-1.,-1.,0.,0.
-1.,-1.,-1.,-1.,-1.,0.
-1.,0.,-1.,0.,-1.64243066,0.
-1.,0.,-1.,1.,-1.00981503,0.
0.,1.,-1.04479993,0.,-1.07883295,-2.
0.,-1.15934793,1.,-1.,1.,-1.
0.,1.,0.,0.,-1.,-1.31912176
1.,-1.66521735,-1.,0.,-1.63676042,0.
0.,0.,-1.20117729,-1.,-1.49821003,1.
-1.,0.,-1.21731774,-1.,0.,1.
-1.,-1.,0.,-1.,-1.,-1.
-1.,-1.,-1.,-1.,-1.,-1.
0.,-1.99526934,0.,-1.,-1.48390746,-1.
-1.,0.,0.,0.,1.,-1.
1.,0.,-1.,-1.,1.,-1.
0.,0.,0.,-1.,0.,1.
0.,-1.06533527,0.,-1.,0.,0.
-1.,0.,-1.,-1.0291686,-1.,-1.5747342
-1.46991322,-2.,0.,0.,-1.,1.
-1.,1.,-1.,-1.,0.,1.
0.,-1.,0.,-1.,-1.,0.
-1.,1.,-1.,0.,0.,-1.
0.,-1.,-1.,0.,-1.06555743,0.
0.,-1.53888085,-1.49698371,1.,-1.,0.
0.,-1.7543386,0.,0.,-1.,-1.
-1.,-1.,-1.,-1.27704157,0.,-1.24992361
0.,-1.,0.,-1.,1.,-1.
-1.,-1.37395126,-1.,0.,0.,1.
-1.10469181,-1.,0.,1.,0.,-1.06750376
0.,2.,-1.,0.,1.,-1.59947007
-1.,1.,-1.,0.,-1.,0.
-1.,-1.63725754,-2.,0.,-1.,-1.39393534
1.,1.,1.,-1.93168375,-1.,1.
-1.09967799,1.,1.,0.,-1.12088486,-1.
0.,-1.,0.,1.,-1.24174045,-1.
-2.,-1.,0.,1.,0.,-1.
-1.67591968,-1.,1.,0.,-1.,0.
1.,-1.,-1.,-1.,0.,-1.
-1.1722982,-1.,0.,-1.,-1.,-2.
-1.,-1.,-1.59368868,0.,-1.,-1.09516929
-1.,0.,1.,-2.,0.,0.
0.,1.,1.,2.,0.,-1.
0.,0.,-1.,-1.,-1.11386154,0.
0.,-1.,-1.,0.,-1.,1.
-1.1521901,-1.,-1.47611497,-1.,-1.,0.
-1.,0.,-1.,1.,1.,-1.
-1.,-1.,0.,0.,-1.02183632,0.
0.,-1.32814686,-1.,-1.,1.,1.
-1.68227956,1.,-1.,0.,-1.,-1.
-1.15692869,-1.,-1.,-1.,-1.,1.
-1.,-1.,-1.,-1.,0.,-1.
1.,-1.,0.,-1.,1.,1.
0.,-1.09619252,1.,-1.,1.,0.
-1.,0.,0.,1.,-1.,-2.
0.,0.,0.,-1.84726169,1.,0.
0.,-1.,0.,-1.,2.,1.
1.,0.,0.,0.,-1.,-1.70197577
0.,1.,1.,1.,-2.,0.
-1.,-1.,-1.,-1.8252619,-1.,-1.
0.,-1.,-1.07530642,1.,0.,0.
1.,2.,-1.,-1.,0.,0.
